,id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
104,106,Hillary Clinton,I Shoulda Tried Harder,Wax,neutral,personal,2013,"Bill Clinton, Hillary Clinton, I ain't talking to ya'll, nope",http://genius.com/Wax-i-shoulda-tried-harder-lyrics,9137,,,2013,"['Bill', 'Clinton', 'Hillary', 'Clinton', 'I', ""ain't"", 'talking', 'to', ""ya'll"", 'nope']"
105,107,Hillary Clinton,Girls Got a Gun,Yo-Yo,negative,personal,1993,Fuck Bill Clinton and Hillary,http://genius.com/Yo-yo-girls-got-a-gun-lyrics,239,1993-06-22,True,1993,"['Fuck', 'Bill', 'Clinton', 'and', 'Hillary']"
106,108,Hillary Clinton,For Real,Yung God,neutral,personal,2014,"Bang, Heavy artillery young Bill Clint / Make your girl go Hillary boy",http://genius.com/Yung-god-for-real-lyrics,851,2014-07-29,True,2014,"['Bang', 'Heavy', 'artillery', 'young', 'Bill', 'Clint', '/', 'Make', 'your', 'girl', 'go', 'Hillary', 'boy']"
107,109,Bernie Sanders,Valleys,Lupe Fiasco,positive,political,2015,"Uh, Bernie Sanders need a Nike deal",http://genius.com/Lupe-fiasco-valleys-lyrics,27445,2015-08-28,True,2015,"['Uh', 'Bernie', 'Sanders', 'need', 'a', 'Nike', 'deal']"
108,110,Bernie Sanders,The Ancap Rap,Young Rippa,negative,political,2015,Bernie sanders is an economic illiterate,http://genius.com/Young-rippa-the-ancap-rap-lyrics,1390,2015-10-31,True,2015,"['Bernie', 'sanders', 'is', 'an', 'economic', 'illiterate']"
109,111,Donald Trump,Johnny Ryall,Beastie Boys,neutral,,1989,Donald Trump and Donald Tramp living in the men's Shelter,http://genius.com/Beastie-boys-johnny-ryall-lyrics,14421,1989-07-25,True,1989,"['Donald', 'Trump', 'and', 'Donald', 'Tramp', 'living', 'in', 'the', ""men's"", 'Shelter']"
110,112,Donald Trump,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,positive,money,1995,"Given the power punch, soon to be paid like Donald Trump",http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics,21102,1995-03-28,True,1995,"['Given', 'the', 'power', 'punch', 'soon', 'to', 'be', 'paid', 'like', 'Donald', 'Trump']"
111,113,Donald Trump,My Word Is Bond,Donald D,positive,,1989,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/Ice-t-my-word-is-bond-lyrics,614,1989-10-10,True,1989,"['And', 'after', 'that', 'me', 'and', 'Donald', 'Trump', 'hung', 'out', '/', 'Donald', ""talkin'"", ""'bout"", 'Donald', ""Trump'"", 'man', ""y'all"", 'is', 'crazy']"
112,114,Donald Trump,50/Banks,50 Cent,positive,money,2002,"We can talk Trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics,2792,2002-06-01,True,2002,"['We', 'can', 'talk', 'Trump', 'talk', 'real', 'estate', 'stocks', 'and', 'bonds']"
113,115,Donald Trump,Skill Trade,Nice,positive,money,1990,I'm not rich like Donald Trump,http://genius.com/Nice-skill-trade-lyrics,215,,,1990,"[""I'm"", 'not', 'rich', 'like', 'Donald', 'Trump']"
