id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
56,Hillary Clinton,Stand Tall,Ice Cube,negative,,2008,Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten,http://genius.com/Ice-cube-stand-tall-lyrics,2248,8/19/08,TRUE,2008,"['Never', 'put', 'your', 'trust', 'in', 'Hillary', 'Rodham', '/', 'Cause', 'I', 'can', 'tell', 'you', 'now', ""it's"", ""gon'"", 'turn', 'out', 'rotten']"
57,Hillary Clinton,American History X,Ill Bill,negative,political,2004,"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it",http://genius.com/Ill-bill-american-history-x-lyrics,10599,5/4/04,TRUE,2004,"['I', 'eat', 'politicians', 'for', 'breakfast', '/', 'Till', 'infinity', ""it's"", 'endless', '/', 'Bill', 'and', 'Hillary', 'George', 'Bush', ""everybody's"", 'gettin', 'it']"
58,Hillary Clinton,Twisted Thoughts,ISO,neutral,political,2015,"Couldn't pay my bills, where the fuck is Hillary?",http://genius.com/King-iso-twisted-thoughts-lyrics,8704,7/27/15,TRUE,2015,"[""Couldn't"", 'pay', 'my', 'bills', 'where', 'the', 'fuck', 'is', 'Hillary?']"
59,Hillary Clinton,Holla at a Playa (Remix),Jae Millz,neutral,political,2008,"Straight Osam 'em, treat 'em like Hillary",http://genius.com/Jae-millz-holla-at-a-playa-remix-lyrics,1504,,,2008,"['Straight', 'Osam', ""'em"", 'treat', ""'em"", 'like', 'Hillary']"
60,Hillary Clinton,Mayor Bloomberg: Who's Really in Control?,Jasiri X,neutral,,2013,2016 that's right Hillary I'll show you what a Billie means,http://genius.com/Jasiri-x-mayor-bloomberg-whos-really-in-control-lyrics,329,,,2013,"['2016', ""that's"", 'right', 'Hillary', ""I'll"", 'show', 'you', 'what', 'a', 'Billie', 'means']"
61,Hillary Clinton,NYMP,Jay Z,neutral,political,1999,"I take and rape villages, who gon' stop him? / Not Rudy Guiliani, not Hillary Rodham",http://genius.com/Jay-z-nymp-lyrics,10730,12/28/99,TRUE,1999,"['I', 'take', 'and', 'rape', 'villages', 'who', ""gon'"", 'stop', 'him?', '/', 'Not', 'Rudy', 'Guiliani', 'not', 'Hillary', 'Rodham']"
62,Hillary Clinton,"Bitch, Don't Kill My Vibe (Remix)",Jay Z,neutral,,2012,Sittin' next to Hillary smellin' like dank,http://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics,1025456,3/19/13,FALSE,2013,"[""Sittin'"", 'next', 'to', 'Hillary', ""smellin'"", 'like', 'dank']"
63,Hillary Clinton,I Luv Your Girl (Remix),Jeezy,neutral,,2008,"It goes Hillary Clinton, Barack Obama",http://genius.com/The-dream-i-luv-your-girl-remix-lyrics,14518,4/15/08,TRUE,2008,"['It', 'goes', 'Hillary', 'Clinton', 'Barack', 'Obama']"
64,Hillary Clinton,U Ain't Fresh,KAM,neutral,personal,2000,"Like Bill ass Hillary, ""what's up?"" / Still love me, pretty young thang?",http://genius.com/Dj-quik-u-aint-fresh-lyrics,2228,5/16/00,TRUE,2000,"['Like', 'Bill', 'ass', 'Hillary', '""what\'s', 'up?""', '/', 'Still', 'love', 'me', 'pretty', 'young', 'thang?']"
65,Hillary Clinton,Pressure,Killer Mike,negative,political,2008,Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush,http://genius.com/Killer-mike-pressure-lyrics,5800,7/8/08,TRUE,2008,"['Or', 'you', 'a', 'dirty', 'n----', 'working', 'for', 'a', 'fucking', 'Clinton', '/', 'Or', 'you', 'dirty', 'n----', 'working', 'for', 'a', 'fucking', 'Bush']"
66,Hillary Clinton,R.I.P.,King Kold,neutral,,2014,Was content with that basic shit / My Hillary Clinton,http://genius.com/King-kold-rip-lyrics,93,2/14/14,TRUE,2014,"['Was', 'content', 'with', 'that', 'basic', 'shit', '/', 'My', 'Hillary', 'Clinton']"
67,Hillary Clinton,Bring It Back,KRS-ONE,neutral,,1997,It Takes a Village like Hillary,http://genius.com/Krs-one-bring-it-back-lyrics,1215,,,1997,"['It', 'Takes', 'a', 'Village', 'like', 'Hillary']"
68,Hillary Clinton,Smilin' Faces,Kutt Calhoun,negative,,2008,Look at Hillary Clinton when she speak / Looking like the devil with a grin,http://genius.com/Kutt-calhoun-smilin-faces-lyrics,3248,,,2008,"['Look', 'at', 'Hillary', 'Clinton', 'when', 'she', 'speak', '/', 'Looking', 'like', 'the', 'devil', 'with', 'a', 'grin']"
69,Hillary Clinton,Whatever You Want,Big Sean,positive,money,2010,Leading lady like Hillary grabbing big Bills,http://genius.com/Big-sean-whatever-you-want-lyrics,4984,,,2010,"['Leading', 'lady', 'like', 'Hillary', 'grabbing', 'big', 'Bills']"
70,Hillary Clinton,Lollipop,Lil Wayne,neutral,personal,2008,"And when I'm at the bottom, she Hillary Rodham",http://genius.com/Lil-wayne-lollipop-lyrics,318575,3/13/08,TRUE,2008,"['And', 'when', ""I'm"", 'at', 'the', 'bottom', 'she', 'Hillary', 'Rodham']"
